"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"270","212","Ersan Ilyasova","PF","29","OKC","3","62","6.9",".469",".750",".000","3.6","25.0","14.3","2.2","2.4","1.3","20.0","13.7","-0.1","0.1","0.0",".012","-5.8","-0.5","-6.3","-0.1"
"271","212","Ersan Ilyasova","PF","29","PHI","53","1447","15.4",".553",".460",".219","5.4","18.5","12.0","11.5","1.1","0.8","9.9","23.6","1.4","1.3","2.6",".087","0.9","-1.3","-0.4","0.6"
"272","212","Ersan Ilyasova","PF","29","ATL","26","633","13.5",".530",".407",".288","7.4","18.7","13.1","10.6","1.7","1.1","11.8","19.9","0.5","0.9","1.4",".106","-0.6","0.5","-0.2","0.3"
"273","213","Joe Ingles","SF","29","UTA","82","1972","12.4",".604",".619",".151","1.4","13.5","7.6","17.1","2.6","0.3","18.2","13.9","2.0","3.0","5.0",".122","0.9","1.8","2.7","2.3"
"274","214","Brandon Ingram","SF","19","LAL","79","2279","8.5",".474",".273",".312","2.8","12.8","7.6","10.5","1.1","1.3","12.9","16.8","-1.0","0.7","-0.3","-0.007","-3.1","-0.7","-3.9","-1.1"
"275","215","Kyrie Irving","PG","24","CLE","72","2525","23.0",".580",".311",".231","2.3","7.5","5.0","29.7","1.6","0.8","10.3","30.8","7.4","1.5","8.9",".170","4.8","-2.3","2.5","2.9"
"276","216","Jarrett Jack","PG","33","NOP","2","33","7.7",".773",".333",".667","0.0","0.0","0.0","20.3","3.0","0.0","43.6","9.2","0.0","0.0","0.0",".060","-5.3","-4.1","-9.3","-0.1"
"277","217","Demetrius Jackson","PG","22","BOS","5","17","30.8",".753",".250","1.500","13.2","13.0","13.1","28.2","0.0","0.0","0.0","17.3","0.1","0.0","0.1",".386","9.2","-2.8","6.4","0.0"
"278","218","Pierre Jackson","PG","25","DAL","8","84","13.0",".416",".282",".179","1.3","11.6","6.2","38.0","1.2","0.0","6.7","25.3","0.0","0.1","0.0",".021","-1.7","-2.8","-4.4","-0.1"
"279","219","Reggie Jackson","PG","26","DET","52","1424","14.9",".510",".272",".201","1.6","7.3","4.3","30.3","1.2","0.3","13.4","26.4","0.8","1.2","1.9",".065","0.6","-2.1","-1.5","0.2"
"280","220","LeBron James","SF","32","CLE","74","2794","27.0",".619",".254",".395","4.0","20.7","12.6","41.3","1.6","1.3","16.1","30.0","9.8","3.0","12.9",".221","6.8","1.6","8.4","7.3"
"281","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
